depth	min	max	median	mean
125	-28	101	15	21
144	18	209	88	95
160	113	485	274	280
184	494	1053	726	739
208	774	1981	1219	1258
264	1653	3363	2523	2519
312	2980	4206	3593	3594
360	3900	5751	4700	4731
400	4608	6856	5662	5680
456	5826	8108	7020	7005
472	6186	8418	7412	7386
504	7216	8931	8150	8133
519	7866	9203	8490	8505
543	8526	10059	9207	9229
559	8880	10847	9753	9781
569	9058	11244	10115	10130
582	9529	11564	10574	10577
600	9907	12017	11013	11027
612	10090	12263	11219	11214
620	10251	12385	11330	11327
628	10375	12518	11443	11440
636	10515	12660	11565	11569
640	10585	12746	11632	11638
