depth	min	max	median	mean
8.5	-62	-42	-55	-54
28.5	-59	-14	-49	-46
60.5	-55	17	-38	-33
90.5	-50	41	-28	-20
120.5	-45	70	-16	-7
150.5	-37	103	-3	7
170.5	-31	114	4	15
190.5	-25	126	10	23
210.5	-20	139	16	31
230.5	-11	154	28	44
250.5	11	189	58	73
270.5	22	225	96	107
290.5	43	255	131	139
310.5	60	292	166	171
330.5	83	330	199	203
350.5	124	360	230	235
368.5	163	388	259	264
388.5	202	420	297	306
408.5	240	465	353	354
432.5	284	485	399	394
450.5	317	500	426	422
470.5	357	523	465	455
490.5	396	548	498	490
510.5	459	559	528	523
524.5	505	564	548	544
544.5	564	606	579	580
562.5	587	753	637	644
582.5	637	828	737	726
602.5	699	838	782	773
622.5	838	868	861	859
642.5	867	905	876	878
664.5	874	949	894	900
690.5	896	986	936	937
710.5	947	1001	972	973
730.5	1057	1065	1061	1061
754.5	1109	1200	1145	1148
780.5	1131	1272	1202	1197
808.5	1181	1366	1282	1274
824.5	1240	1396	1330	1321
838.5	1288	1419	1387	1372
858.5	1421	1438	1426	1427
880.5	1427	1623	1467	1491
900.5	1436	1648	1518	1533
920.5	1449	1683	1586	1581
940.5	1639	1791	1764	1752
960.5	1792	1888	1811	1818
980.5	1803	2213	1894	1924
1000.5	1836	2406	1992	2026
