depth	min	max	median	mean
1	-58	-7	-33	-33
3	-51	101	24	23
5	-45	209	80	79
7	81	220	148	148
9	182	249	218	217
11	246	373	308	308
13	274	575	419	421
15	291	789	531	534
17	490	815	642	644
19	653	863	753	755
21	740	921	826	829
23	773	970	864	868
25	796	1050	900	907
27	830	1078	932	938
29	851	1122	964	970
31	889	1163	996	1005
33	932	1208	1028	1044
35	957	1272	1063	1083
37	1381	1628	1495	1498
39	1741	2046	1918	1913
41	2009	2311	2178	2181
43	2091	2545	2296	2303
45	2135	2878	2392	2424
47	2210	2957	2496	2518
49	2249	3090	2592	2612
51	2317	3212	2687	2708
53	2383	3300	2789	2804
55	2425	3439	2890	2901
57	2536	3509	2988	2997
59	2602	3608	3090	3094
61	2683	3701	3188	3190
63	2770	3765	3291	3285
65	2830	3872	3390	3379
67	2969	3920	3489	3477
69	3057	3993	3593	3575
71	3167	4066	3692	3671
73	3286	4113	3791	3765
75	3368	4190	3891	3859
77	3587	4224	3976	3956
79	3745	4271	4069	4053
81	3866	4327	4145	4132
82	3915	4347	4171	4164
