depth	min	max	median	mean
1	-42	-34	-38	-38
3	-34	-16	-24	-24
5	-26	4	-11	-11
7	-16	16	1	1
9	-12	37	13	13
11	3	50	25	26
13	20	57	40	40
15	29	75	54	54
17	56	196	105	112
21	99	426	219	232
25	157	557	371	366
27	277	577	435	432
29	357	607	504	499
31	487	660	591	588
33	561	893	687	699
35	588	1190	778	810
37	675	1274	916	932
39	719	1425	1050	1054
41	816	1559	1173	1175
43	917	1622	1308	1295
45	980	1742	1437	1414
51	1613	1914	1773	1773
55	1746	2279	1962	1977
61	1999	2503	2253	2249
65	2220	2640	2417	2427
70	2342	2804	2530	2544
