depth	min	max	median	mean
395	7322	8372	7925	7906
402	7869	8500	8125	8144
410	8019	9002	8375	8416
420	8250	9668	8783	8833
425	8351	9963	9056	9080
435	8490	10834	9555	9574
440	8841	10917	9804	9817
450	9209	11167	10346	10301
455	9328	11413	10612	10544
465	10022	11566	11016	10952
470	10224	11696	11231	11156
473	10298	11844	11355	11279
480	10375	12070	11527	11455
485	10430	12221	11618	11549
489	10466	12373	11682	11625
500	10578	12695	11883	11836
505	10641	12767	11976	11933
510	10694	12870	12061	12030
515	10758	13024	12152	12127
520	10811	13075	12211	12183
530	10910	13206	12327	12293
535	10949	13304	12387	12349
545	11018	13417	12514	12457
550	11051	13498	12582	12511
560	11144	13636	12706	12619
565	11193	13688	12764	12673
570	11229	13746	12823	12727
575	11271	13802	12879	12781
580	11301	13880	12939	12834
585	11332	13973	12992	12888
590	11362	14061	13040	12941
595	11398	14160	13094	12994
605	11464	14310	13199	13104
610	11488	14400	13250	13159
620	11543	14569	13356	13270
625	11584	14653	13413	13326
635	11644	14855	13516	13437
640	11670	14939	13567	13491
646	11702	15048	13628	13557
650	11729	15122	13672	13601
656	11772	15234	13742	13675
