depth	min	max	median	mean
413	-39	421	150	162
421	12	1052	389	432
430	185	1532	705	742
442	402	2081	1128	1158
450	580	2262	1424	1424
456	705	2489	1635	1622
460	853	2552	1766	1747
470	1033	2799	2111	2059
480	1479	2920	2430	2372
490	2054	3074	2738	2694
500	2827	3210	3023	3024
509	2913	3405	3133	3142
520	3000	3649	3266	3284
530	3064	3844	3396	3412
540	3179	3970	3533	3543
545	3214	4063	3599	3609
555	3345	4167	3730	3736
560	3378	4254	3794	3800
570	3547	4370	3917	3930
579	3715	4500	4027	4048
590	3915	4684	4160	4195
600	4150	5298	4723	4718
610	4689	5837	5241	5247
620	5321	6121	5803	5781
630	5808	6594	6153	6164
640	5979	7248	6468	6502
645	6049	7428	6619	6649
655	6234	7820	6908	6937
660	6316	7938	7067	7079
670	6552	8214	7373	7373
680	6746	8504	7697	7676
690	7100	8660	7997	7961
700	7548	8855	8282	8261
705	7813	8932	8435	8419
710	7989	9056	8603	8577
715	8449	9171	8779	8781
720	8693	9330	8980	8984
722.5	8743	9484	9072	9086
725	8780	9713	9163	9188
727.5	8962	9755	9292	9311
730	9135	9803	9423	9434
732	9264	9846	9528	9532
735	9418	9943	9681	9680
740	9614	10176	9933	9927
742	9702	10263	10022	10013
745	9784	10446	10152	10142
753	9901	11026	10487	10487
755	9917	11189	10572	10573
760	10325	11232	10787	10786
763	10529	11275	10919	10915
765	10643	11308	11006	11000
767	10713	11367	11090	11085
770	10807	11515	11219	11214
772.5	10971	11562	11285	11290
773.5	11035	11579	11315	11320
775	11127	11615	11357	11365
776	11183	11648	11386	11396
777.5	11235	11716	11428	11441
778.5	11255	11779	11456	11471
780	11271	11874	11496	11517
781	11278	11944	11522	11547
782.5	11287	12043	11565	11593
784	11296	12150	11607	11638
785	11300	12220	11633	11669
787	11425	12334	11772	11807
790	11514	12536	12010	12015
792	11560	12697	12170	12154
795	11620	12991	12387	12362
798.5	11678	13387	12638	12604
800	11709	13573	12743	12708
802	12027	13600	12893	12865
809	13099	13741	13410	13412
813	13484	14036	13724	13725
815	13556	14265	13874	13882
818	13750	14417	14065	14069
823	13966	14759	14401	14383
830	14152	15394	14811	14821
835	14235	15551	14938	14924
840	14289	15765	15057	15026
845	14326	16013	15155	15129
850	14416	16130	15247	15231
855	14479	16307	15341	15333
860	14532	16504	15427	15435
865	14609	16623	15532	15539
870	14680	16782	15631	15643
