depth	min	max	median	mean
650	-28	-22	-25	-25
662	-17	-5	-11	-11
670	-12	8	-2	-2
680	15	29	22	22
690	34	58	46	46
702	58	83	71	71
710	64	109	87	87
714	77	131	101	102
722	84	211	125	131
730	88	296	150	160
738	109	342	199	206
742	114	384	220	228
750	121	495	260	273
754	143	511	284	295
762	164	559	332	340
770	177	647	375	384
778	240	684	426	435
786	267	761	479	486
790	277	814	501	512
803	344	1023	619	636
810	361	1210	670	703
830	463	1503	871	900
850	577	1720	1072	1093
870	712	1931	1279	1292
890	850	2112	1480	1480
910	1031	2264	1684	1672
930	1242	2412	1874	1862
950	1502	2553	2069	2057
970	1829	2688	2245	2247
990	2031	2976	2466	2478
1010	2195	3213	2708	2708
1030	2403	3394	2952	2938
1050	2694	3539	3183	3165
1070	3023	3698	3382	3377
1083	3123	3794	3471	3469
1090	3152	3896	3514	3518
1110	3287	4066	3656	3662
1130	3446	4195	3794	3801
1150	3570	4508	3969	3987
1170	3681	4813	4158	4182
1190	3813	5079	4355	4381
1210	3949	5288	4555	4576
1230	4104	5472	4768	4774
1250	4287	5656	4966	4968
1270	4475	5820	5173	5165
1290	4673	5979	5376	5361
1310	4910	6117	5574	5555
1330	5204	6265	5768	5757
1350	5562	6432	5977	5983
1370	5745	6826	6249	6261
1390	5965	7068	6545	6537
1410	6362	7267	6820	6818
1430	6603	7757	7092	7117
1450	6782	8130	7364	7390
1470	6982	8407	7654	7665
1490	7221	8700	7946	7945
1510	7559	8952	8212	8221
1530	7971	9483	8588	8624
1550	8241	10461	9099	9168
1570	8542	11062	9669	9708
1590	8954	11572	10269	10264
1610	9458	11959	10844	10802
1630	10229	12315	11365	11340
1650	10965	12910	11899	11912
1670	11329	13517	12415	12422
1690	11759	13930	12968	12935
1710	12400	14255	13505	13454
1725	13312	14529	13898	13904
