depth	min	max	median	mean
1	-38	-5	-22	-22
5	-28	69	6	10
10	-22	167	42	50
15	-8	192	67	73
15.00001	-2	192	69	75
23	48	348	164	173
101.5	1699	2581	2126	2127
104.5	1908	2623	2193	2214
110.5	2141	2804	2378	2407
114.5	2255	3262	2645	2675
119.5	2325	4113	2936	3011
124.5	2545	4409	3310	3352
129.5	2652	4856	3665	3694
134.5	3003	5062	4028	4034
139.5	3196	5369	4400	4375
144.5	3682	5521	4764	4724
149.5	3977	5706	5165	5073
154.5	4775	5799	5444	5399
159.5	5516	5912	5723	5721
164.5	5643	6169	5886	5887
174.5	5793	6681	6163	6184
184.5	5996	7020	6465	6478
193.5	6209	7257	6739	6740
201.5	6434	7432	6988	6972
209.5	6679	7568	7242	7208
219.5	7293	7723	7514	7512
229.5	7448	8170	7733	7754
239.5	7600	8458	7974	7989
249.5	7786	8693	8220	8227
259.5	8015	8902	8468	8464
269.5	8313	9103	8697	8697
275.5	8583	9271	8878	8878
279.5	8655	9468	8987	9001
284.5	8778	9708	9177	9193
289.5	8848	10137	9353	9389
304.5	9257	10746	9961	9970
309.5	9351	10976	10165	10165
314.5	9541	11116	10363	10355
319.5	9667	11300	10559	10543
324.5	9922	11408	10756	10737
329.5	10099	11573	10990	10931
334.5	10245	11686	11166	11073
339.5	10338	11883	11287	11210
