labid,age,error,depth,cc
Core top,-48,1,0,0
unassigned,1960,50,37,1
unassigned,1730,50,47,1
unassigned,2090,50,59.5,1
CAMS-50400,3050,40,99,1
CAMS-29555,3260,50,101,1
CAMS-48145,4230,50,131,1
CAMS-50401,5000,40,159,1
CAMS-38698,4980,70,160,1
CAMS-38697,5140,50,160.1,1
CAMS-48146,6150,50,188,1
CAMS-38706,8480,80,228,1
CAMS-38700,8890,70,238,1
CAMS-38699,8910,50,238.1,1
CAMS-48135,9520,40,238.2,1
CAMS-38705,9370,110,253,1
CAMS-50402,9870,50,257,1
CAMS-38701,9910,60,259,1
CAMS-38702,9930,70,259.1,1
CAMS-50403,10120,40,267,1
CAMS-45519,10350,50,274,1
CAMS-50404,10420,50,278,1
CAMS-45520,10840,50,283,1
CAMS-38704,11430,70,293,1
CAMS-38703,11640,50,293.1,1
CAMS-48136,12040,50,293.2,1
CAMS-47407,15650,120,347.5,1
CAMS-44853,16040,70,440,1
unassigned,17060,70,581,1
unassigned,25060,360,772,1
