"sitename","siteid","datasetid","altitude","longitude","latitude"
"15/1",1,1,244,-75.25,55.09167
"Site 1 (Cohen unpublished)",10,10,37,-82.33,30.83
"Site 30 (Swain unpublished)",100,100,381,-91.35,46.35
"Hafichuk Site",969,1000,740,-105.88389,50.32056
"Hail Lake",970,1001,690,-129.01667,60.03333
"Hams Lake",971,1002,301,-80.41333,43.23667
"Hanging Lake",972,1003,500,-138.38333,68.38333
"Hansen Marsh",973,1004,381,-89.67916,43.43469
"Harding Lake",975,1006,NA,-146.9075,64.44444
"Lac Harriman",976,1007,65,-65.83889,48.2375
"Harrie Lake",977,1008,530,-66.95,52.93333
"Site 31 (Swain unpublished)",101,101,344,-91.72,46.05
"Hawke Hills Kettle",979,1010,220,-53.13333,47.32222
"Hawley Bog Pond-1",981,1012,549,-72.88333,42.56667
"Hay Lake",982,1013,2780,-109.425,34
"Baker Lake (Cole 1969)",983,1014,12,-96.00572,64.32433
"Repulse Bay (Cole 1969) [Naujaat]",984,1015,122,-86.23529,66.52364
"Pelly Lake Airport",985,1016,211,-101.08334,66.06667
"Cullaton Lake Airport",986,1017,243,-98.49204,61.31631
"Churchill (Cole 1969)",24272,1018,15,-94.10165,58.73903
"Egg Lake (Cole 1069)",988,1019,305,-101.39832,54.35497
"Site 32 (Swain unpublished)",102,102,326,-91.8,46.22
"Raven Lake (Cole 1969)",989,1020,476,-91.27361,49.28218
"Remi Lake (Cole 1969)",990,1021,235,-82.1688,49.42222
"Klotz Lake (Cole 1969)",991,1022,280,-85.86885,49.79568
"Headwaters Lake",992,1023,820,-155.05,67.93333
"Headwaters Lake",992,1024,820,-155.05,67.93333
"Healy Lake",993,1025,343,-144.75,64
"Hebron Lake",996,1028,170,-63.03333,58.2
"Hedrick Pond",997,1029,2073,-110.6,43.75
"Site 33 (Swain unpublished)",103,103,442,-91.58,45.63
"Hedrick Pond",997,1030,2073,-110.6,43.75
"Helmetta Bog",998,1031,15,-74.43333,40.38333
"Hemo Pond",999,1032,499,-95.47922,47.13
"Tourbière de Lanoraie HENRI",1000,1033,18,-73.3,45.98889
"Site 1 (Lamb 1982)",1001,1034,43,-57.2,51.45
"HFL02",1002,1035,195,-56.75,51.58333
"HFL03",1003,1036,43,-57.23333,51.5
"4 [HFL4]",1004,1037,235,-56.66667,52.41667
"Roberts Creek AB32",6477,10375,308,-91.50028,42.98611
"Roberts Creek AB35LH",6478,10376,308,-91.50028,42.98611
"Roberts Creek AB30",6479,10377,308,-91.50028,42.98611
"Roberts Creek CCLH-2",6480,10378,308,-91.50028,42.98611
"Roberts Creek DPS-8",6481,10379,308,-91.50028,42.98611
"5 [HFL5]",1005,1038,295,-56.53333,52.45
"Roberts Creek AB21",6482,10380,308,-91.50028,42.98611
"Roberts Creek DPS-2LH",6484,10381,308,-91.50028,42.98611
"Roberts Creek F-45",6485,10382,308,-91.50028,42.98611
"Roberts Creek F-45A",6486,10383,308,-91.50028,42.98611
"Roberts Creek CCEH-1",6487,10384,308,-91.50028,42.98611
"Roberts Creek CCEH-1A",6488,10385,308,-91.50028,42.98611
"Roberts Creek CCEH-2(2)B",6489,10386,308,-91.50028,42.98611
"Roberts Creek RCBS",6490,10387,308,-91.50028,42.98611
"Roberts Creek AB33",6491,10388,308,-91.50028,42.98611
"Roberts Creek AB35",6492,10389,308,-91.50028,42.98611
"6 [HFL6]",1006,1039,57,-56.28333,52.55
"Roberts Creek AB44",6493,10390,308,-91.50028,42.98611
"Roberts Creek AB51",6495,10391,308,-91.50028,42.98611
"Roberts Creek AB34",6497,10392,308,-91.50028,42.98611
"Roberts Creek AB22A",6498,10393,308,-91.50028,42.98611
"Roberts Creek CCLG-1A",6499,10394,308,-91.50028,42.98611
"Roberts Creek DPS-9",6483,10395,308,-91.50028,42.98611
"Balsam Meadow",226,10399,2015,-119.25586,37.15702
"Site 34 (Swain unpublished)",104,104,396,-91.47,45.82
"7 [HFL7]",1007,1040,73,-56.18333,52.6
"Balsam Meadow",226,10400,2015,-119.25586,37.15702
"Yellow Dog Pond",2948,10401,445,-87.94333,46.75414
"Moose Lake",6502,10402,350,-95.3406,49.1939
"Julius Bog",6501,10403,280,-96.2825,49.9361
"Sewell Lake",2290,10404,370,-99.5909,49.8369
"Falcon Lake",6503,10405,328,-95.3224,49.6781
"Pelican Lake",6504,10406,411,-99.6314,49.2753
"8 [HFL8]",1008,1041,78,-56.38333,52.73333
"9 [HFL9]",1009,1042,135,-56.66667,52.6
"10 [HFL10]",1010,1043,221,-56.7,52.86667
"11 [HFL11]",1011,1044,375,-57.03333,52.4
"12 [HFL12]",1012,1045,337,-57.36667,52.5
"13 [HFL13]",1013,1046,379,-57.43333,52.2
"Abalone Rocks Marsh",8,10469,0,-119.97667,33.95639
"14 [HFL14]",1014,1047,380,-57.71667,52.36667
"15 [HFL15]",1015,1048,406,-57.81667,52.58333
"16 [HFL16]",1016,1049,319,-57.83333,52.08333
"Site 35 (Swain unpublished)",105,105,320,-90.97,45.9
"17 [HFL17]",1017,1050,319,-57.86667,52.08333
"19 [HFL19]",1018,1051,357,-57.45,52.13333
"20 [HFL20]",1019,1052,371,-57.55,52.2
"21 [HFL21]",1020,1053,220,-60.9,53.61667
"22 [HFL22]",1021,1054,136,-60.75,53.61667
"23 [HFL23]",1022,1055,295,-60.68333,53.63333
"24 [HFL24]",1023,1056,255,-60.61667,53.6
"25 [HFL25]",1024,1057,124,-60.31667,53.68333
"26 [HFL26]",1025,1058,195,-60.23333,53.71667
"27 [HFL27]",1026,1059,160,-60.15,54.71667
"Site 36 (Swain unpublished)",106,106,457,-90.62,45.83
"HFL28",1027,1060,285,-61.13333,54.3
"29 [HFL29]",1028,1061,306,-61.15,54.36667
"30 [HFL30]",1029,1062,289,-61.25,54.41667
"HFL31",1030,1063,295,-61.28333,54.45
"32 [HFL32]",1031,1064,290,-61.2,54.46667
"HFL33",1032,1065,126,-61.28333,54.56667
"HFL34",1033,1066,280,-60.88333,54.3
"HFL35",1034,1067,569,-62.73333,55.1
"HFL36",1035,1068,575,-62.73333,55.2
"37 [HFL37]",1036,1069,623,-62.65,55.23333
"Site 37 (Swain unpublished)",107,107,472,-90.3,45.6
"38 [HFL38]",1037,1070,570,-62.25,55.21667
"39 [HFL39]",1038,1071,590,-62.2,55.1
"40 [HFL40]",1039,1072,566,-62.45,54.88333
"HFL41",1040,1073,587,-62.35,54.8
"HFL42",1041,1074,578,-62.38333,54.81667
"HFL43",1042,1075,500,-63.08333,57.13333
"44 [HFL44]",1043,1076,510,-63.16667,57.16667
"HFL45",1044,1077,410,-63.13333,57.28333
"HFL46",1045,1078,500,-62.8,57.33333
"47 [HFL47]",1046,1079,470,-62.86667,57.26667
"Site 38 (Swain unpublished)",108,108,472,-90.32,45.3
"HFL50",1047,1080,510,-64.53333,56.65
"51 [HFL51]",1048,1081,523,-64.5,56.65
"52 [HFL52]",1049,1082,510,-64.5,56.58333
"HFL53",1050,1083,460,-64.25,56.36667
"54 [HFL54]",1051,1084,480,-63.95,56.28333
"55 [HFL55]",1052,1085,510,-64.18333,56.3
"HFL56",1053,1086,470,-64.41667,56.16667
"57 [HFL57]",1054,1087,559,-62.65,55.03333
"58 [HFL58]",1055,1088,513,-62.73333,54.86667
"59 [HFL59]",1056,1089,565,-62.71667,54.9
"Site 39 (Swain unpublished)",109,109,305,-88.2,43.6
"60 [HFL60]",1057,1090,589,-63.03333,54.76667
"61 [HFL61]",1058,1091,530,-63.25,54.86667
"62 [HFL62]",1059,1092,507,-63.11667,54.6
"63 [HFL63]",1060,1093,352,-63.03333,54.88333
"HFL64",1061,1094,554,-63.11667,55.05
"65 [HFL65]",1062,1095,545,-63.2,55.13333
"HFL66",1063,1096,526,-63.38333,55.4
"Northeast Shark River Slough",6505,10967,1,-80.58386,25.74642
"Snow Lake",1064,1097,522,-63.88333,56.63333
"South Heron Lake",6506,10970,428,-95.27,43.689
"Ocheda Lake",6507,10971,476,-95.64255,43.54645
"Hemlock Hollow",6510,10972,348,-72.181,42.533
"Blomford Lake",6511,10973,291,-93.157,45.491
"Fawn Lake",6512,10974,274,-93.057,45.4045
"Frovold Lake",6513,10975,318,-95.568,45.374
"Goose Lake",6514,10976,334,-94.596,44.985
"Olson Lake",6515,10977,379,-93.6619,46.5104
"HFL68",1065,1098,500,-62.91667,57.33333
"Little Dyke Lake",6519,10980,10,-63.5625,45.383
"Little Dyke Lake",6519,10981,10,-63.5625,45.383
"Round Grove Lake",6521,10983,318,-94.5,44.7
"69 [HFL69]",1066,1099,388,-62.03333,55.45
"Site 40 (Swain unpublished)",110,110,283,-88.22,43.87
"HFL70",1067,1100,150,-62.66667,57.61667
"HFL72",1068,1101,450,-62.88333,54.33333
"HFL74",1069,1102,305,-61.11667,54.38333
"Hickory Ridge Basin",1070,1103,167,-89.11333,38.94722
"Hidden Lake",1071,1104,NA,-144.65833,63.94
"High Lake",1072,1105,192,-76.6,44.51667
"Honeymoon Pond",1074,1107,1160,-138.4,64.63333
"Blocknic Lake [Horse Pond]",1076,1109,393,-95.87041,47.17931
"Site 41 (Swain unpublished)",111,111,229,-87.87,43.85
"Horseshoe Lake",1077,1110,277,-93.04778,45.46028
"Hostage Lake",1078,1111,368,-94.13333,46.55
"Houston",1079,1112,564,-66.69448,54.71752
"Houghton Bog",1080,1113,428,-78.67028,42.54167
"Howes Prairie Marsh",1081,1114,185,-87.07222,41.65
"Site 1 (Delcourt 1978)",1082,1115,61,-89.27,35.48
"Site 2 (Delcourt 1978)",1083,1116,168,-87.78,35.9
"Site 3 (Delcourt 1978)",1084,1117,244,-87.55,35.95
"Site 4 (Delcourt 1978)",1085,1118,213,-86.3,36.08
"Site 5 (Delcourt 1978)",1086,1119,472,-85.12,35.43
"Site 42 (Swain unpublished)",112,112,223,-87.73,44.07
"Site 6 (Delcourt 1978)",1087,1120,305,-84.1,36.23
"Site 7 (Delcourt 1978)",1088,1121,549,-83.8,35.6
"Site 8 (Delcourt 1978)",1089,1122,1220,-83.43,35.63
"Site 9 (Delcourt 1978)",1090,1123,2024,-83.5,35.57
"Site 10 (Delcourt 1978)",1091,1124,1677,-83.47,35.6
"Site 11 (Delcourt 1978)",1092,1125,716,-83.32,35.55
"Site 12 (Delcourt 1978)",1093,1126,1372,-83.17,35.55
"Site 13 (Delcourt 1978)",1094,1127,457,-82.18,35.63
"Site 14 (Delcourt 1978)",1095,1128,351,-81.78,35.73
"Site 15 (Delcourt 1978)",1096,1129,335,-81.47,35.72
"Site 43 (Swain unpublished)",113,113,250,-88.07,44.15
"Site 16 (Delcourt 1978)",1097,1130,244,-80.72,35.23
"Site 17 (Delcourt 1978)",1098,1131,137,-88.27,36.03
"Hudson Lake",1100,1133,239,-86.53,41.67
"Hug Lake",1101,1134,570,-90.93333,47.95833
"Humber Pond 3",1102,1135,74,-79.48,43.64
"Humber Pond 5",1103,1136,74,-79.49,43.64
"Humber Pond 7",1104,1137,74,-79.5,43.65
"Hustler Lake",1105,1138,401,-92.16932,48.21758
"Hynes Brook Salt Marsh",1106,1139,0,-58.965,48.61861
"Site 44 (Swain unpublished)",114,114,226,-87.73,44.28
"Icehouse Bottom [40MR23]",1107,1140,239,-84.19167,35.58833
"Iglutalik Lake",1109,1142,90,-66.08333,66.135
"Indian Lake",1113,1146,383,-90.45,50.91667
"Indian Lake",1113,1147,383,-90.45,50.91667
"Indian Prairie Fen",1114,1148,988,-122.575,44.63333
"Inglesby Lake",1115,1149,167,-77.05,44.48333
"Site 45 (Swain unpublished)",115,115,244,-87.87,44.42
"Iola Bog",1117,1151,258,-89.11694,44.5
"Keystone Iron Fen",1118,1152,2920,-107.03333,38.865
"Irvin Lake",1119,1153,478,-93.64361,47.13556
"Jack Lake",1123,1157,430,-81.76667,47.31667
"Jackson Pond",1125,1159,260,-85.7263,37.43148
"Site 46 (Swain unpublished)",116,116,472,-89.7,45.57
"Jackson Pond",1125,1160,260,-85.7263,37.43148
"Jacob Lake",1127,1162,2285,-110.83333,34.33333
"Jacobson Lake",1128,1163,324,-92.71694,46.41694
"Lake of the Clouds",1129,1164,1550,-71.31667,44.26667
"Hermit Lake",1130,1165,1160,-71.31667,44.26667
"Dolly Sods",1131,1166,1204,-79.6,39.1
"Canaan Mountain",1132,1167,1120,-79.6,39.1
"Canaan Valley",1133,1168,950,-79.6,39.1
"Swallow Falls",1134,1169,713,-79.4,39.65
